"X","a1","d","g","u"
"X330",1.0,0.1864754769126719,0.0,1
"X331",0,0,0,1
"X332",1.0,-1.705936876318468,0.0,1
"X333",0,0,0,1
"X334",1.0,-4.097664300425352,0.0,1
"X335",1.0,2.6955217695848543,0.0,1
"X336",0,0,0,1
"X337",0,0,0,1
"X338",0,0,0,1
"X339",1.0,-2.129311739126499,0.0,1
"X340",0,0,0,1
"X341",0,0,0,1
"X342",0,0,0,1
"X343",0,0,0,1
"X344",1.0,-0.3749037795887351,0.0,1
"X345",1.0,0.4385479048207877,0.0,1
"X346",1.0,-4.097664300425352,0.0,1
"X347",1.0,-2.252970841642405,0.0,1
"X348",0,0,0,1
"X349",1.0,-1.1972344577078573,0.0,1
"X350",0,0,0,1
"X351",1.0,-2.695430740933287,0.0,1
"X352",0,0,0,1
"X353",0,0,0,1
"X354",1.0,2.386858915727037,0.0,1
"X355",1.0,1.2751434360598737,0.0,1
"X356",0,0,0,1
"X357",1.0,-0.1864424038267554,0.0,1
"X358",1.0,-4.822885361732279,0.0,1
"X359",0,0,0,1
"X360",1.0,2.87868404016227,0.0,1
"X361",1.0,4.823432817144997,0.0,1
"X362",0,0,0,1
"X363",0,0,0,1
"X364",0,0,0,1
"X365",0,0,0,1
"X366",1.0,-4.822885361732279,0.0,1
"X367",1.0,-3.6611581873099777,0.0,1
"X368",0,0,0,1
"X369",1.0,1.9057178701716293,0.0,1
"X370",0,0,0,1
"X371",0,0,0,1
"X372",0,0,0,1
"X373",1.0,-3.6611581873099777,0.0,1
"X374",0,0,0,1
"X375",1.0,-0.6329714140779115,0.0,1
"X376",0,0,0,1
"X377",0,0,0,1
"X378",1.0,-0.1241825759046634,0.0,1
"X379",1.0,-2.878580263701729,0.0,1
"X380",0,0,0,1
"X381",1.0,-4.822885361732279,0.0,1
"X382",0,0,0,1
"X383",1.0,-1.12144358506162,0.0,1
"X384",0,0,0,1
"X385",0,0,0,1
"X386",1.0,-4.097664300425352,0.0,1
"X387",1.0,0.5027327569714706,0.0,1
"X388",1.0,1.197275159347542,0.0,1
"X389",1.0,3.661351092347876,0.0,1
"X390",1.0,1.355339352261043,0.0,1
"X391",0,0,0,1
"X392",1.0,-0.9043806155569224,0.0,1
"X393",1.0,-3.6611581873099777,0.0,1
"X394",0,0,0,1
"X395",0,0,0,1
"X396",0,0,0,1
"X397",0,0,0,1
"X398",0,0,0,1
"X399",0,0,0,1
"X400",0,0,0,1
"X401",0,0,0,1
"X402",1.0,0.5027327569714706,0.0,1
"X403",0,0,0,1
"X404",0,0,0,1
"X405",0,0,0,1
"X406",1.0,-3.6611581873099777,0.0,1
"X407",0,0,0,1
"X408",1.0,0.062084012080845,0.0,1
"X409",0,0,0,1
"X410",1.0,1.2751434360598737,0.0,1
"X411",0,0,0,1
"X412",0,0,0,1
"X413",1.0,-0.3749037795887351,0.0,1
"X414",0,0,0,1
"X415",1.0,-1.4381239910015204,0.0,1
"X416",0,0,0,1
"X417",0,0,0,1
"X418",0,0,0,1
"X419",0,0,0,1
"X420",1.0,-3.3431441748572746,0.0,1
"X421",0,0,0,1
"X422",1.0,-2.014004369083428,0.0,1
"X423",1.0,1.2751434360598737,0.0,1
"X424",1.0,1.5239070513549564,0.0,1
"X425",0,0,0,1
"X426",0,0,0,1
"X427",1.0,-2.533113746612221,0.0,1
"X428",0,0,0,1
"X429",0,0,0,1
"X430",0,0,0,1
"X431",1.0,-1.3552961800101198,0.0,1
"X432",1.0,-0.8348673594633678,0.0,1
"X433",1.0,1.9057178701716293,0.0,1
"X434",1.0,0.1242155454010714,0.0,1
"X435",0,0,0,1
"X436",0,0,0,1
"X437",0,0,0,1
"X438",1.0,-1.12144358506162,0.0,1
"X439",1.0,-2.129311739126499,0.0,1
"X440",0,0,0,1
"X441",1.0,-2.695430740933287,0.0,1
"X442",1.0,-4.097664300425352,0.0,1
"X443",1.0,2.87868404016227,0.0,1
"X444",0,0,0,1
