model,pirt_accuracy,theta,n_subset_items,n_all_items,actual_accuracy,se_reached,error,abs_error,squared_error
jlzhou/Qwen2.5-3B-Infinity-Instruct-0625,0.01360381025421832,-0.527167316153921,22,1183,0.02282333051563821,0.27242147595763644,-0.00921952026141989,0.00921952026141989,8.499955385073187e-05
jpacifico/Chocolatine-3B-Instruct-DPO-v1.2,0.1999043815259549,1.387212775800221,8,1183,0.14285714285714285,0.13227976223637483,0.05704723866881206,0.05704723866881206,0.0032543874397364062
jpacifico/Distilucie-7B-Math-Instruct-DPO-v0.1,0.021801381568529322,-0.1781855190871936,9,1183,0.027049873203719356,0.2912176859913403,-0.0052484916351900335,0.0052484916351900335,2.754666444465975e-05
jpacifico/Lucie-7B-Instruct-DPO-v1.1,0.025955768093522673,-0.06066207914176976,8,1183,0.026204564666103127,0.29605762851170975,-0.0002487965725804543,0.0002487965725804543,6.189973452778127e-08
kz919/QwQ-0.5B-Distilled-SFT,0.0029603092816062075,-2.0604014021408923,400,1183,0.0008453085376162299,0.5417909914073574,0.002115000743989978,0.002115000743989978,4.4732281470781595e-06
lesubra/ECE-PRYMMAL-3B-SLERP-V1,0.18753512867707328,1.3319502079459946,8,1183,0.10989010989010989,0.17778299311741155,0.0776450187869634,0.0776450187869634,0.006028748942427898
lunahr/thea-3b-50r-u1,0.07738844406752943,0.6519797434049716,8,1183,0.1132713440405748,0.204986331735695,-0.035882899973045376,0.035882899973045376,0.0012875825104755798
matouLeLoup/ECE-PRYMMAL-0.5B-FT-V4-MUSR-ENSEMBLE-Mathis,0.0170633210817455,-0.357058966912038,12,1183,0.0338123415046492,0.2897458011200249,-0.0167490204229037,0.0167490204229037,0.0002805296851268453
meditsolutions/MedIT-Mesh-3B-Instruct,0.021541279027058394,-0.19220361622980237,9,1183,0.17666948436179206,0.2927444173942092,-0.15512820533473365,0.15512820533473365,0.024064760090375285
mergekit-community/mergekit-dare_ties-ajgjgea,0.04466360079165402,0.2939826116089192,8,1183,0.03888419273034658,0.24711484162860453,0.005779408061307438,0.005779408061307438,3.34015575391054e-05
meta-llama/Llama-3.2-3B,0.012744478180553687,-0.592421786427749,21,1183,0.01267962806424345,0.2880766293216747,6.485011631023746e-05,6.485011631023746e-05,4.205537585451327e-09
meta-llama/Llama-3.2-3B-Instruct,0.15646464169235072,1.173409653709933,8,1183,0.17328825021132713,0.15123664516710011,-0.016823608518976407,0.016823608518976407,0.00028303380359977556
monsterapi/gemma-2-2b-LoRA-MonsterInstruct,0.030284414099932887,0.04190742875399882,8,1183,0.01098901098901099,0.2786822697914029,0.0192954031109219,0.0192954031109219,0.0003723125812129745
mrdayl/OpenCogito,0.20616715089326,1.4157443573491637,8,1183,0.24429416737109044,0.1324382148136142,-0.038127016477830455,0.038127016477830455,0.0014536693855007551
netcat420/MFANN-abliterated-phi2-merge-unretrained,0.02299718037892791,-0.14297146972740613,9,1183,0.0253592561284869,0.2832388159841019,-0.0023620757495589895,0.0023620757495589895,5.579401846654662e-06
netcat420/MFANN3bv0.18,0.025798081266294542,-0.0652400070510936,8,1183,0.021132713440405747,0.28527652274763066,0.004665367825888795,0.004665367825888795,2.1765656950838343e-05
open-atlas/Atlas-Flash-1.5B-Preview,0.04742065390013338,0.33031918544467054,8,1183,0.034657650042265425,0.2363253536181868,0.012763003857867952,0.012763003857867952,0.00016289426747595224
pankajmathur/orca_mini_v9_5_1B-Instruct,0.03558988778763971,0.14351969612883086,8,1183,0.030431107354184278,0.25914945409902257,0.005158780433455433,0.005158780433455433,2.6613015560602626e-05
pankajmathur/orca_mini_v9_6_3B-Instruct,0.04742065390013338,0.33031918544467054,8,1183,0.08453085376162299,0.2363253536181868,-0.03711019986148961,0.03711019986148961,0.0013771669337597037
prithivMLmods/Llama-Deepsync-1B,0.0311828424758109,0.058057546223800945,8,1183,0.03803888419273035,0.273332356002164,-0.006856041716919448,0.006856041716919448,4.7005308024139765e-05
qingy2024/Qwen2.5-4B,0.04153788349993317,0.24555872958383398,8,1183,0.037193575655114115,0.25312695120040046,0.004344307844819054,0.004344307844819054,1.8873010650556372e-05
saishshinde15/TethysAI_Vortex_Reasoning,0.1344971008063181,1.0515244005195192,8,1183,0.23922231614539308,0.16346279749671502,-0.10472521533907497,0.10472521533907497,0.010967370727815624
sumink/Qwenftmodel,0.09899805124075642,0.8244903340298164,8,1183,0.08622147083685545,0.2364556028933794,0.012776580403900964,0.012776580403900964,0.00016324100681734612
sumink/llamaft,0.0072115546458740255,-1.2011698500212185,400,1183,0.005917159763313609,0.3142693305331583,0.0012943948825604162,0.0012943948825604162,1.6754581119985935e-06
tiiuae/Falcon3-3B-Instruct,0.1787570736503821,1.285905241244529,8,1183,0.27557058326289097,0.13675249230634104,-0.09681350961250887,0.09681350961250887,0.009372855643491346
tinycompany/SigmaBoi-bge-m3,0.017041722145342986,-0.35108868177191577,13,1183,0.08537616229923922,0.2810110972311042,-0.06833444015389624,0.06833444015389624,0.004669595711146427
tinycompany/Tamed-Shawty,0.0642874385645678,0.5277731684149195,8,1183,0.07945900253592561,0.2163472265289578,-0.015171563971357813,0.015171563971357813,0.00023017635333700244
viettelsecurity-ai/security-llama3.2-3b,0.11167703977744982,0.9113812426474042,8,1183,0.14032121724429417,0.17579664674848175,-0.028644177466844348,0.028644177466844348,0.0008204889027520735
voidful/smol-360m-ft,0.004637085606373523,-1.6196765822336736,400,1183,0.005917159763313609,0.4209452721177204,-0.001280074156940086,0.001280074156940086,1.6385898472658716e-06
vonjack/Phi-3-mini-4k-instruct-LLaMAfied,0.12428495047454599,0.9921492034905257,8,1183,0.1437024513947591,0.17952789713281025,-0.019417500920213104,0.019417500920213104,0.00037703934198647675
weathermanj/Menda-3b-Optim-200,0.20616715089326,1.4157443573491637,8,1183,0.41420118343195267,0.1324382148136142,-0.20803403253869268,0.20803403253869268,0.04327815869430984
win10/Qwen2.5-2B-Instruct,0.003760977224007542,-1.7006038971210722,400,1183,0.0016906170752324597,0.4443001247043799,0.0020703601487750824,0.0020703601487750824,4.286391145635981e-06
ymcki/gemma-2-2b-jpn-it-abliterated-17-ORPO,0.0642874385645678,0.5277731684149195,8,1183,0.047337278106508875,0.2163472265289578,0.016950160458058923,0.016950160458058923,0.0002873079395539443
yuchenxie/ArlowGPT-3B-Multilingual,0.04421178897810561,0.28644834902058625,8,1183,0.10481825866441251,0.2564468242027101,-0.060606469686306896,0.060606469686306896,0.003673144167837237
