criterion_id,a_correctness,a_scaffolding,b,n_persons,a_se_approx
tb_0022_c06,1.499258,0.0,5.628744,115,0.805719
tb_0023_c02,0.520771,0.0,1.885313,114,0.17426
tb_0023_c03,0.849525,0.0,3.951801,115,0.448434
tb_0023_c06,0.609892,0.0,4.79239,114,0.62528
tb_0024_c04,0.996761,0.0,2.970156,114,0.336472
tb_0024_c05,0.804385,0.19239,1.312622,111,0.207856
tb_0024_c06,1.269492,0.0,2.881951,115,0.374764
tb_0024_c10,0.141293,0.0,1.762361,114,0.134023
tb_0024_c11,0.028479,0.0,2.869635,115,0.202748
tb_0025_c01,0.933095,0.0,4.511488,114,0.569577
tb_0025_c02,0.262448,0.0,4.590647,115,0.500527
tb_0025_c04,0.508737,0.0,1.634753,115,0.159003
tb_0025_c05,0.041125,0.0,3.039332,114,0.219976
tb_0025_c06,-0.220772,0.0,1.835241,113,0.130222
tb_0025_c07,0.918339,-0.311742,4.608435,114,0.597644
tb_0025_c11,-0.004425,0.0,4.723565,113,0.487016
tb_0025_c12,0.0,-1.099676,3.362833,115,0.565107
tb_0026_c02,1.366528,0.0,4.488076,115,0.584796
tb_0026_c03,0.938252,0.0,4.536944,115,0.574936
tb_0026_c04,6.073495,0.0,19.695755,115,4.422169
tb_0026_c12,0.938252,0.0,4.536944,115,0.574936
tb_0026_c14,1.982129,0.0,4.792752,115,0.682622
tb_0027_c07,6.073495,0.0,19.695755,115,4.422169
tb_0028_c02,1.366528,0.0,4.488076,115,0.584796
tb_0028_c04,0.843141,0.0,-1.266956,110,0.154855
tb_0028_c05,0.266475,0.0,4.576759,114,0.499094
tb_0028_c07,0.48255,0.0,2.994674,115,0.261292
tb_0028_c08,1.1894,0.0,3.88089,114,0.476793
tb_0028_c09,1.603666,0.0,5.844968,114,0.854445
tb_0028_c10,0.292659,0.0,1.070749,109,0.118438
tb_0028_c11,5.838162,0.0,18.77147,78,4.491125
tb_0029_c02,0.853753,0.0,0.642038,115,0.168674
tb_0029_c03,1.287366,0.0,1.918591,115,0.309856
tb_0029_c04,4.779807,-5.246292,20.620733,115,4.184953
tb_0030_c01,0.69611,0.0,1.692436,105,0.198069
tb_0030_c04,1.011625,0.0,1.671979,115,0.239079
tb_0030_c07,1.631482,0.0,5.374002,113,0.767643
tb_0030_c08,0.550568,0.0,2.741465,73,0.295444
tb_0031_c01,0.525106,0.0,1.319238,114,0.146746
tb_0031_c02,0.446183,0.0,2.775147,115,0.233595
tb_0031_c04,0.715834,0.0,-0.283154,113,0.13474
tb_0031_c05,0.478605,0.0,2.992292,115,0.260511
tb_0031_c06,1.107466,0.0,3.517899,115,0.414447
tb_0031_c08,0.569048,0.0,0.277965,110,0.124216
tb_0031_c09,-0.064491,0.0,0.649199,114,0.095866
tb_0031_c10,0.434993,0.0,3.208492,115,0.280415
tb_0031_c11,0.63969,0.0,1.519676,110,0.171748
tb_0031_c12,0.832876,0.0,3.556611,114,0.386407
tb_0031_c13,-0.017168,0.0,1.831811,114,0.130842
tb_0032_c02,1.071786,0.0,3.261287,115,0.378446
tb_0032_c03,0.913073,0.0,2.870042,115,0.31093
tb_0032_c04,6.073495,0.0,19.695755,115,4.422169
tb_0032_c05,0.559862,0.0,0.482996,114,0.126458
tb_0032_c06,0.0,-0.751747,1.358641,112,0.267223
tb_0033_c01,1.627777,0.0,0.779081,115,0.32741
tb_0033_c02,2.581042,0.0,3.194831,114,0.808721
tb_0033_c03,6.073381,0.0,19.69537,114,4.422511
tb_0034_c01,0.664595,0.0,3.146612,115,0.304014
tb_0034_c02,0.959952,0.0,4.522341,114,0.57593
tb_0034_c05,0.697331,0.0,1.38651,115,0.172014
tb_0034_c07,4.351163,0.0,12.372256,115,3.873966
tb_0035_c01,1.116127,0.0,1.133273,113,0.233553
tb_0035_c02,0.784067,0.0,2.708782,114,0.275189
tb_0036_c01,0.724322,0.0,-1.046539,109,0.137766
tb_0036_c02,1.372348,0.0,6.154075,115,0.988458
tb_0036_c03,0.954698,0.0,4.495998,113,0.570525
tb_0036_c05,2.187919,0.0,5.770039,115,0.87444
tb_0036_c09,1.372348,0.0,6.154075,115,0.988458
tb_0036_c10,1.372348,0.0,6.154075,115,0.988458
tb_0037_c01,1.212005,0.0,4.560724,115,0.586135
tb_0038_c01,0.368112,0.0,2.298018,115,0.184031
tb_0038_c02,0.913073,0.0,2.870042,115,0.31093
tb_0038_c03,4.351163,0.0,12.372256,115,3.873966
tb_0038_c04,1.411087,0.0,1.995218,114,0.342678
tb_0038_c05,1.652947,0.0,5.433761,115,0.770232
tb_0038_c06,0.782874,0.0,3.281963,115,0.337718
tb_0039_c02,0.424136,0.0,3.92836,115,0.388721
tb_0039_c03,1.218706,0.0,0.229815,108,0.229887
tb_0039_c04,1.227701,0.0,2.177625,114,0.314975
tb_0039_c05,1.487379,0.0,4.40914,115,0.585391
tb_0039_c06,0.838288,0.0,3.296115,113,0.352742
tb_0039_c09,0.040857,-0.114485,1.5319,112,0.166801
tb_0040_c01,0.694708,0.0,0.688086,113,0.148429
tb_0040_c02,1.043747,0.082507,3.181498,114,0.377855
tb_0040_c03,0.574251,0.0,0.956897,112,0.145576
tb_0040_c04,0.625142,0.0,4.096201,115,0.451589
tb_0040_c06,0.0,-0.808922,2.12354,115,0.338864
tb_0041_c02,1.019679,0.0,1.224993,114,0.219501
tb_0041_c03,0.532398,0.0,3.271577,115,0.301647
tb_0041_c04,0.424136,0.0,3.92836,115,0.388721
tb_0041_c05,1.266953,0.0,0.649444,115,0.243565
tb_0041_c07,1.23703,0.0,0.377676,115,0.229132
tb_0042_c01,6.073495,0.0,19.695755,115,4.422169
tb_0042_c02,0.938252,0.0,4.536944,115,0.574936
tb_0042_c03,0.920197,0.0,3.051006,115,0.330916
tb_0042_c04,0.816627,0.0,3.32481,115,0.348014
tb_0042_c05,0.92713,-0.059855,4.550834,115,0.606044
tb_0042_c06,0.450654,0.0,2.320321,115,0.194739
tb_0042_c07,0.410857,0.0,1.136947,115,0.128144
tb_0042_c10,0.0,-1.133012,2.588616,81,0.496494
tb_0043_c02,0.498038,0.0,3.552694,115,0.33675
tb_0043_c03,1.4223,0.0,0.391539,114,0.2695
tb_0043_c04,1.278383,0.0,4.920166,114,0.847493
tb_0043_c05,1.397075,0.0,2.027174,115,0.341235
tb_0043_c06,1.228488,0.0,-2.543243,111,0.225362
tb_0043_c08,0.743453,0.009836,1.93717,115,0.229328
tb_0044_c01,0.400056,0.0,2.183343,115,0.179229
tb_0044_c02,1.207594,0.0,3.276971,115,0.402158
tb_0044_c03,1.751069,0.0,4.623433,115,0.643316
tb_0044_c04,4.452396,0.0,11.803876,115,3.907006
tb_0044_c05,0.476426,0.0,1.32839,115,0.141692
tb_0044_c06,0.926579,0.0,3.059407,115,0.332845
tb_0045_c06,2.708408,2.98059,8.493531,115,2.714178
tb_0045_c09,0.938252,0.0,4.536944,115,0.574936
tb_0045_c11,0.625142,0.0,4.096201,115,0.451589
tb_0045_c12,0.537693,0.0,3.275747,115,0.302922
tb_0045_c13,0.484609,0.0,2.023394,80,0.212918
tb_0046_c01,0.948875,0.0,2.01413,115,0.247939
tb_0046_c02,0.968442,0.0,1.203623,115,0.20802
tb_0046_c03,1.018147,0.0,1.677253,115,0.240605
tb_0046_c04,0.659895,0.361781,1.99497,115,0.222458
tb_0046_c05,6.073495,0.0,19.695755,115,4.422169
tb_0046_c06,1.253651,0.0,3.537435,115,0.43872
tb_0046_c07,1.499258,0.0,5.628744,115,0.805719
tb_0046_c08,0.137888,0.0,3.208586,115,0.245876
tb_0047_c04,1.372276,0.0,6.153898,114,0.988637
tb_0047_c07,0.63474,0.0,3.67576,114,0.376756
tb_0047_c08,0.937682,0.0,4.535824,114,0.575548
tb_0047_c10,0.561903,0.0,1.06707,114,0.142517
tb_0048_c01,0.897427,0.0,4.0236,115,0.465959
tb_0048_c03,0.681344,0.0,0.824208,115,0.149027
tb_0048_c04,0.761957,0.0,2.28603,115,0.235144
tb_0048_c05,1.358246,0.0,3.326826,115,0.432138
tb_0048_c06,1.725205,0.0,3.53677,115,0.513037
tb_0048_c08,1.490725,0.0,3.924865,115,0.519182
tb_0048_c10,0.783119,0.0,1.773881,114,0.205831
tb_0049_c01,0.945439,0.0,-0.681069,114,0.163383
tb_0049_c02,1.761182,0.0,5.660818,115,0.820675
tb_0049_c03,0.884969,0.0,4.004618,115,0.461372
tb_0049_c04,1.548439,0.0,4.521503,115,0.608861
tb_0049_c06,0.638818,0.0,1.968424,115,0.194615
tb_0050_c03,1.540824,0.0,2.294179,114,0.3946
tb_0050_c04,1.644996,0.0,0.401445,114,0.31839
tb_0050_c06,0.975699,0.0,1.499191,113,0.223921
tb_0050_c08,6.073495,0.0,19.695755,115,4.422169
tb_0051_c01,1.190819,0.0,0.715641,113,0.231793
tb_0051_c02,1.180866,0.0,1.060831,115,0.242285
tb_0051_c04,0.613717,0.0,4.783876,114,0.620751
tb_0051_c05,1.134593,0.0,-1.211844,113,0.194656
tb_0051_c06,1.26743,0.0,-0.687485,114,0.21875
tb_0051_c07,0.570671,-0.185212,2.323777,115,0.241422
tb_0052_c02,0.410987,0.0,1.562641,113,0.149107
tb_0052_c03,6.073495,0.0,19.695755,115,4.422169
tb_0052_c04,1.372348,0.0,6.154075,115,0.988458
tb_0052_c05,1.742519,0.0,4.137249,115,0.574759
tb_0052_c06,0.673617,0.0,1.796232,115,0.189298
tb_0052_c07,1.39441,0.0,2.094607,114,0.344824
tb_0052_c08,0.517584,0.0,0.267867,113,0.118077
tb_0052_c09,6.005216,0.0,19.427618,113,4.441165
tb_0053_c01,1.372348,0.0,6.154075,115,0.988458
tb_0053_c03,1.570219,0.0,4.561935,115,0.617297
tb_0053_c04,1.351976,-0.730821,2.569465,114,0.373822
tb_0053_c05,0.870509,0.0,-0.140809,114,0.156773
tb_0053_c06,0.0,-1.12813,2.077489,115,0.359908
tb_0053_c09,0.656501,0.0,-0.539896,114,0.127155
tb_0053_c10,0.712754,0.0,2.806009,115,0.273056
tb_0054_c02,1.07478,0.0,0.289418,115,0.196392
tb_0054_c03,0.874041,0.0,-0.636843,115,0.152804
tb_0054_c04,0.613507,0.0,4.800604,115,0.625679
tb_0054_c05,1.006432,0.0,2.545911,115,0.297574
tb_0055_c03,0.452833,0.0,1.132253,115,0.132024
tb_0055_c05,0.432896,-0.455418,3.397751,115,0.353354
tb_0055_c08,0.394019,0.0,2.951997,115,0.245439
tb_0056_c01,1.311206,0.0,1.788874,114,0.307661
tb_0056_c02,1.599106,0.0,3.7008,115,0.507887
tb_0056_c03,1.325715,0.0,1.74074,113,0.310237
tb_0056_c04,0.89682,0.0,0.970483,113,0.187821
tb_0056_c06,0.933804,0.0,1.664995,113,0.225752
tb_0056_c07,0.564287,0.0,2.502066,113,0.224563
tb_0057_c02,0.820104,0.0,2.709401,114,0.284127
tb_0057_c03,0.462078,0.0,1.136215,109,0.135429
tb_0057_c04,2.708408,2.98059,8.493531,115,2.714178
tb_0057_c05,0.519397,0.0,2.817048,115,0.247106
tb_0057_c06,0.999438,0.0,1.672692,114,0.242818
tb_0057_c07,0.574528,0.0,0.868054,111,0.138335
tb_0057_c08,1.106181,0.0,-0.328494,115,0.191479
tb_0057_c09,0.337765,0.0,1.182706,111,0.131508
tb_0057_c10,0.682723,0.0,2.339752,115,0.227077
tb_0057_c11,-0.018996,0.0,3.344954,115,0.248308
tb_0058_c01,1.565384,0.0,2.847481,115,0.432144
tb_0058_c02,1.254913,0.0,-1.232977,109,0.220772
tb_0058_c03,1.565384,0.0,2.847481,115,0.432144
tb_0058_c04,1.776552,0.0,2.429889,115,0.462372
tb_0058_c05,5.932842,-0.599478,19.835675,115,4.479058
tb_0058_c07,0.613507,0.0,4.800604,115,0.625679
tb_0059_c01,1.864317,0.0,3.365668,114,0.532305
tb_0059_c02,0.613507,0.0,4.800604,115,0.625679
tb_0059_c03,1.194011,0.0,1.436003,115,0.262767
tb_0059_c04,1.439414,0.0,1.908022,114,0.34415
tb_0059_c06,1.264718,0.127635,2.675064,115,0.361324
tb_0059_c07,0.868189,0.0,2.045035,115,0.235695
tb_0059_c08,1.374319,0.0,3.952849,115,0.507666
tb_0059_c09,1.159129,0.0,3.835867,115,0.463658
tb_0059_c10,0.775473,0.0,2.180948,115,0.229592
tb_0060_c01,0.640061,0.0,0.919273,114,0.146979
tb_0060_c02,1.576291,0.0,2.861639,115,0.435524
tb_0061_c02,1.372348,0.0,6.154075,115,0.988458
tb_0061_c03,0.625142,0.0,4.096201,115,0.451589
tb_0061_c04,1.366528,0.0,4.488076,115,0.584796
tb_0061_c05,1.362319,0.0,2.461975,115,0.361248
tb_0061_c06,1.110976,0.0,-0.142635,114,0.194758
tb_0061_c07,0.0,-0.499788,2.861989,113,0.457304
tb_0062_c01,1.488725,0.0,-3.502811,114,0.28648
