model,actual_full,pirt_pred,theta,se,n_items
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep,0.33687002652519893,0.5336647839260211,1.4407673324508197,0.07709784239684211,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.33554376657824936,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.33421750663129973,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.33554376657824936,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.33421750663129973,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.32625994694960214,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,0.33687002652519893,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_1ep,0.34748010610079577,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,0.33687002652519893,0.44181250619821655,0.23258660864242975,0.10454302199762362,8
JayHyeon/Qwen_0.5-MDPO_0.5_1e-5-3ep_0alp_0lam,0.33687002652519893,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,0.32891246684350134,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
JayHyeon/Qwen_0.5-MDPO_0.5_4e-6-3ep_0alp_0lam,0.3421750663129973,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_0alp_0lam,0.32360742705570295,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.3,0.3090185676392573,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
Kimargin/GPT-NEO-1.3B-wiki,0.3885941644562334,0.43776958634093244,-0.3629450568744725,0.1842453693863911,8
LEESM/llama-2-7b-hf-lora-oki10p,0.34748010610079577,0.43808362906247517,-0.22441736225662762,0.16374162347083682,8
LLM4Binary/llm4decompile-1.3b-v2,0.40716180371352784,0.43310198321171484,-0.8142770942902577,0.10492044680628906,8
LilRg/10PRYMMAL-3B-slerp,0.4535809018567639,0.5639981217995305,1.8229250366697787,0.20449006836577752,8
MaziyarPanahi/calme-2.1-phi3.5-4b,0.39920424403183025,0.4527376049028981,0.3804388057863658,0.1671038751471387,8
Mxode/NanoLM-1B-Instruct-v1.1,0.34350132625994695,0.43311026658857793,-0.7963980453881602,0.10188510344595707,8
NYTK/PULI-LlumiX-32K,0.39655172413793105,0.43310198321171484,-0.8142770942902577,0.10492044680628906,8
Nexesenex/Llama_3.2_3b_Kermes_v2,0.3779840848806366,0.4478620939976236,0.31313632419549114,0.13945818981368444,8
Nexesenex/Nemotron_W_4b_Halo_0.1,0.41644562334217505,0.43808362906247517,-0.22441736225662762,0.16374162347083682,8
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,0.4323607427055703,0.4349475160454366,-0.48783246020103316,0.21929467742730677,8
NikolaSigmoid/DeepSeek-R1-Distill-Qwen-1.5B-500,0.33819628647214856,0.5541393503888276,1.6744740065887667,0.20457095018783192,8
NotASI/FineTome-v1.5-Llama3.2-1B-1007,0.34748010610079577,0.437419271705604,-0.27258442217070583,0.13562403567198553,8
Novaciano/LEWD-Mental-Cultist-3.2-1B,0.3222811671087533,0.4524706592321311,0.38975937107405817,0.1927557515536269,8
OpenBuddy/openbuddy-zero-3b-v21.2-32k,0.356763925729443,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,0.35145888594164454,0.4478620939976236,0.31313632419549114,0.13945818981368444,8
Qwen/Qwen2.5-Math-7B-Instruct,0.3647214854111406,0.4952107804383506,0.9643636317738398,0.05141789984136482,8
RESMPDEV/Qwen2-Wukong-0.5B,0.35278514588859416,0.5055995585582229,1.1171440394258867,0.03964917724781258,8
Rakuten/RakutenAI-2.0-mini-instruct,0.3249336870026525,0.4372434764324799,-0.19311556541215338,0.13004974563244048,8
Sakalti/Anemoi-3B,0.4376657824933687,0.48585624455431137,0.7965514416817805,0.17862954434603975,11
Sakalti/Llama3.2-3B-Uranus-1,0.3673740053050398,0.5224577746964582,1.306728512936137,0.06924166863286883,8
Sakalti/Qwen2.5-1B-Instruct,0.33687002652519893,0.5223341910092811,1.2945136305979839,0.07087920653984131,8
Sakalti/SJT-0.5B,0.3196286472148541,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
Sakalti/Saba1.5-Pro-3B,0.4403183023872679,0.4470482611209387,0.23441422986283988,0.19996832623977737,8
Sakalti/Sailor-japanese,0.3912466843501326,0.43310198321171484,-0.8142770942902577,0.10492044680628906,8
Sicarius-Prototyping/Micropenis_1B,0.3328912466843501,0.4480458189843013,0.322572557590322,0.14782423469696307,8
SicariusSicariiStuff/2B_or_not_2B,0.3793103448275862,0.43767835793621734,-1.0322384045441249,0.1251625895153815,8
Spestly/Athena-1-3B,0.4363395225464191,0.4452676308093649,0.22602251071804297,0.14615042561177863,8
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,0.38992042440318303,0.5055995585582229,1.1171440394258867,0.03964917724781258,8
Triangle104/Minerva-1.5b,0.3660477453580902,0.5046527842017839,1.087448235331621,0.04689354310738287,8
