model,actual_3pl_bank,actual_2pl_bank,pirt_3pl,pirt_2pl,n_items_3pl,n_items_2pl
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.3333333333333333,0.276006711409396,0.3047403206736305,0.3368658090195375,8,35
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.32469775474956825,0.2651006711409396,0.3047403206736305,0.3368658090195375,8,35
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.32469775474956825,0.27432885906040266,0.3047403206736305,0.3368658090195375,8,35
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.33678756476683935,0.27432885906040266,0.3047403206736305,0.3368658090195375,8,35
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.33678756476683935,0.27348993288590606,0.3047403206736305,0.3368658090195375,8,35
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,0.32124352331606215,0.2751677852348993,0.2837958778165197,0.45118963444607707,8,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.34024179620034545,0.276006711409396,0.3047403206736305,0.3368658090195375,8,35
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.3281519861830743,0.27181208053691275,0.3047403206736305,0.3368658090195375,8,35
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.3454231433506045,0.2726510067114094,0.3047403206736305,0.3368658090195375,8,35
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,0.3298791018998273,0.27768456375838924,0.3047403206736305,0.3368658090195375,8,35
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,0.2918825561312608,0.2676174496644295,0.18648520101165478,0.4463144319413049,8,8
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,0.26424870466321243,0.25671140939597314,0.17303172217898263,0.4463144319413049,10,8
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,0.2970639032815199,0.26929530201342283,0.26984176644973573,0.44857989955935573,8,8
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,0.32642487046632124,0.2625838926174497,0.3047403206736305,0.3368658090195375,8,35
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.3022452504317789,0.2701342281879195,0.26984176644973573,0.44654572332834047,8,8
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,0.34024179620034545,0.2709731543624161,0.5917342271335775,0.3368658090195375,8,35
LEESM/llama-2-7b-hf-lora-oki10p,0.25734024179620035,0.25419463087248323,0.17155443150794092,0.4755149400987811,10,8
LilRg/10PRYMMAL-3B-slerp,0.31951640759930916,0.3213087248322148,0.1581099487734427,0.4463144319413049,13,8
Nexesenex/Llama_3.2_1b_AquaSyn_0.11,0.37132987910189985,0.2651006711409396,0.33547026041044825,0.33745009671024095,8,28
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,0.38169257340241797,0.27768456375838924,0.33547026041044825,0.3387596095199382,8,39
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,0.23834196891191708,0.26677852348993286,0.17195017167385973,0.458415462612904,10,8
NotASI/FineTome-v1.5-Llama3.2-1B-1007,0.24870466321243523,0.25,0.15310033233754583,0.44912987381763636,17,8
NousResearch/Hermes-3-Llama-3.2-3B,0.32469775474956825,0.2751677852348993,0.2841840382790999,0.3368658090195375,8,35
Novaciano/ASTAROTH-3.2-1B,0.3281519861830743,0.2558724832214765,0.33547026041044825,0.44807987339779126,8,8
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-HailMary-v0.1-KTO-3B,0.26424870466321243,0.27181208053691275,0.2590167096809681,0.44807987339779126,8,8
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,0.26252158894645944,0.2827181208053691,0.2590167096809681,0.44985518670290925,8,8
Qwen/Qwen2.5-3B-Instruct,0.27806563039723664,0.2726510067114094,0.239284677922829,0.46555369443791045,8,8
RezVortex/Jajuka-3b,0.35233160621761656,0.26593959731543626,0.33547026041044825,0.3376040780142236,8,39
Sakalti/Sailor-japanese,0.26424870466321243,0.2533557046979866,0.1823177253475908,0.44567957547871784,8,8
Sakalti/Saka-1.5B,0.32642487046632124,0.2902684563758389,0.24467469012838414,0.4510617779705172,8,8
Sakalti/tara-3.8B,0.2694300518134715,0.29446308724832215,0.14545053173035452,0.4490964936066683,20,8
SultanR/SmolTulu-1.7b-Reinforced,0.2659758203799655,0.276006711409396,0.16250925825004162,0.4463144319413049,12,8
Syed-Hasan-8503/Phi-3-mini-4K-instruct-cpo-simpo,0.3281519861830743,0.33053691275167785,0.17351522742277262,0.4463144319413049,12,8
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,0.229706390328152,0.24328859060402686,0.151147626762855,0.4463144319413049,16,8
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,0.26252158894645944,0.2525167785234899,0.18648520101165478,0.4466736650382845,8,8
Xiaojian9992024/Llama3.2-1B-THREADRIPPER,0.35233160621761656,0.2609060402684564,0.33547026041044825,0.3368658090195375,8,35
