benchmark,strategy,N,seed,se_target,r,mae,items,n_bank_items,n_test,calib_s
math,random,30,3,0.2,0.8405,0.0494,159.77,672,90,56.5
math,random,30,4,0.2,0.7737,0.0657,140.28,682,90,88.2
math,random,50,0,0.2,0.7422,0.0445,162.99,787,90,84.2
math,random,50,1,0.2,0.8715,0.0375,179.33,779,90,86.4
math,random,50,2,0.2,0.8796,0.0452,173.36,682,90,58.0
math,random,50,3,0.2,0.8665,0.0381,191.12,803,90,75.9
math,random,50,4,0.2,0.8045,0.0455,171.17,722,90,93.6
math,random,80,0,0.2,0.8408,0.0383,207.2,812,90,94.1
math,random,80,1,0.2,0.7874,0.0419,182.19,845,90,89.9
math,random,80,2,0.2,0.8984,0.0424,183.81,825,90,84.9
math,random,80,3,0.2,0.8928,0.03,205.34,860,90,114.2
math,random,80,4,0.2,0.9089,0.0319,204.64,817,90,94.7
math,random,120,0,0.2,0.8663,0.0288,211.56,851,90,102.9
math,random,120,1,0.2,0.9083,0.0251,211.73,917,90,91.8
math,random,120,2,0.2,0.815,0.0351,186.0,892,90,85.9
math,random,120,3,0.2,0.9182,0.0337,194.19,872,90,115.1
math,random,120,4,0.2,0.8498,0.0305,196.14,900,90,92.1
math,random,10,0,0.3,0.7539,0.0932,70.89,296,90,14.4
math,random,10,1,0.3,0.7118,0.083,90.37,390,90,30.3
math,random,10,2,0.3,0.8237,0.0604,129.06,585,90,48.4
math,random,10,3,0.3,0.8033,0.0586,81.78,497,90,26.2
math,random,10,4,0.3,0.626,0.1207,59.41,214,90,13.1
math,random,20,0,0.3,0.6761,0.0927,83.77,388,90,22.3
math,random,20,1,0.3,0.7895,0.0828,103.87,413,90,34.7
math,random,20,2,0.3,0.883,0.0447,119.1,588,90,52.4
math,random,20,3,0.3,0.8055,0.0568,116.52,575,90,49.4
math,random,20,4,0.3,0.5142,0.0665,159.27,894,90,103.6
math,random,30,0,0.3,0.7028,0.0766,124.37,653,90,48.8
math,random,30,1,0.3,0.7353,0.0558,109.67,726,90,64.1
math,random,30,2,0.3,0.7444,0.0543,139.06,635,90,58.2
math,random,30,3,0.3,0.8386,0.0507,107.78,672,90,56.5
math,random,30,4,0.3,0.7694,0.0667,114.73,682,90,88.2
math,random,50,0,0.3,0.7425,0.0453,112.1,787,90,84.2
math,random,50,1,0.3,0.8639,0.0392,118.81,779,90,86.4
math,random,50,2,0.3,0.8796,0.0467,114.73,682,90,58.0
math,random,50,3,0.3,0.863,0.0393,158.54,803,90,75.9
math,random,50,4,0.3,0.8031,0.047,133.79,722,90,93.6
math,random,80,0,0.3,0.8392,0.0386,151.41,812,90,94.1
math,random,80,1,0.3,0.7859,0.0428,120.76,845,90,89.9
math,random,80,2,0.3,0.896,0.0433,119.43,825,90,84.9
math,random,80,3,0.3,0.8851,0.0318,144.41,860,90,114.2
math,random,80,4,0.3,0.9077,0.0335,158.74,817,90,94.7
math,random,120,0,0.3,0.8579,0.0306,139.9,851,90,102.9
math,random,120,1,0.3,0.9012,0.0268,135.19,917,90,91.8
math,random,120,2,0.3,0.8144,0.0361,124.78,892,90,85.9
math,random,120,3,0.3,0.917,0.0345,154.5,872,90,115.1
math,random,120,4,0.3,0.8363,0.0324,145.56,900,90,92.1
