model,n_obs_items,theta_full_correctness,theta_full_scaffolding,theta_cat_correctness,theta_cat_scaffolding,cat_n_items,n_cross_correctness,n_cross_scaffolding,n_cross_overall,converged_overall,final_se_correctness,final_se_scaffolding,obs_acc,pred_acc_cat,pred_acc_full
openai-community/gpt2-medium,3461,-3.7504397177257425,1.1544053947399682,-2.128280683319811,1.218026637058265,32,32,11,32,True,0.29953512533887466,0.1982395863154648,0.04102860444958105,0.07474260369477367,0.05530670181539508
openai-community/gpt2-xl,3461,-3.7504397177234385,1.1544053947399573,-1.9230931543325562,1.2252451126483273,31,31,11,31,True,0.29697880085734374,0.19008975027644504,0.05778676683039584,0.07946009577330293,0.055812529945594186
openbmb/MiniCPM-2B-sft-bf16,3453,-2.3667594107345242,2.370304189705019e-06,-1.2471049251774455,0.4636476056843828,36,36,10,36,True,0.2935912621064358,0.19523962136606682,0.05473501303214596,0.08847307789188863,0.05646225139383375
stabilityai/stablelm-2-1_6b,3442,-2.366759410734514,6.258611687191002e-11,-1.8532710043076552,0.37655516678938683,32,32,11,32,True,0.29905209300438307,0.21005460332428444,0.06507844276583381,0.06991226112726692,0.05614056653987117
stabilityai/stablelm-2-zephyr-1_6b,3443,-1.1544053947399764,-1.15440526016012,-0.8849865117171349,-0.45087750252588565,20,20,13,20,True,0.2922204172099163,0.27516190519463307,0.07144931745570723,0.09235652277599925,0.07857686913357331
stabilityai/stablelm-3b-4e1t,3436,-2.3667594107346024,-6.788050634884169e-12,-1.5448466753706238,0.2067776906838793,31,31,12,31,True,0.2932758453212854,0.21974856620705957,0.05966239813736903,0.07644620109156891,0.05645571045991792
stabilityai/stablelm-zephyr-3b,3419,-1.15440539473999,-1.1544053947399682,-0.4671114537929102,-0.6784387483927605,15,15,13,15,True,0.29439647607739317,0.28530793571318475,0.08540508920737058,0.11081985679144098,0.07855220964483356
tiiuae/Falcon3-1B-Base,3436,-2.3194830065755264e-77,-1.1544053947399682,0.2700172568194642,-1.0097872697319707,12,5,12,12,True,0.2350978898962819,0.29791777070198905,0.14493597206053552,0.15811345266851323,0.1378860742568253
tiiuae/Falcon3-3B-Base,3393,1.1544053947399682,-1.1544053947399682,1.176803639115687,-1.0645020272057995,5,4,5,5,True,0.2521945950795626,0.2332119439683045,0.3038608900677866,0.2498460632428413,0.2470216948240133
tiiuae/Falcon3-7B-Base,3400,2.366759410734541,-1.1720647599826553e-27,1.5390076840399634,0.33693775116535707,5,5,5,5,True,0.19086142222733254,0.25391846191425477,0.3985294117647059,0.31292234284122156,0.42594863178818676
togethercomputer/RedPajama-INCITE-7B-Base,3447,-3.7504397177256767,2.6668901960622054e-08,-1.7943393088820965,0.5286034590295292,36,36,11,36,True,0.2966857572818771,0.19453585116002362,0.03858427618218741,0.0716514951281057,0.041116967680229176
togethercomputer/RedPajama-INCITE-Base-3B-v1,3466,-3.750439717339706,1.154405392754055,-1.9663472644180051,0.8967907477874096,38,38,10,38,True,0.29388961645525413,0.18675206351034915,0.04962492787074437,0.07479237317627266,0.05603813090862605
